sd	td
0.005712226	0.1
0.006854136	0.12
0.008224195	0.144
0.009867932	0.1728
0.011839938	0.20736
0.014205658	0.248832
0.017043538	0.2985984
0.020447586	0.35831808
0.024530427	0.429981696
0.029426948	0.515978035
0.035298643	0.619173642
0.042338767	0.743008371
0.050778482	0.891610045
0.06089405	1.069932054
0.073015533	1.283918465
0.087536689	1.540702157
0.104927	1.848842589
0.125745346	2.218611107
0.150656089	2.662333328
0.18044751	3.194799994
0.216052871	3.833759992
0.258574161	4.600511991
0.309308461	5.520614389
0.369776619	6.624737267
0.44175356	7.94968472
0.527299005	9.539621664
0.628786622	11.447546
0.748928556	13.7370552
0.890790883	16.48446624
1.057793695	19.78135948
1.253687284	23.73763138
1.482493269	28.48515766
1.748396765	34.18218919
2.055573231	41.01862702
2.407932271	49.22235243
2.808761755	59.06682292
3.26026098	70.8801875
3.762964124	85.056225
4.315078051	102.06747
4.911795212	122.480964
5.544694118	146.9771568
6.201401239	176.3725882
6.865740213	211.6471058
7.518598447	253.9765269
8.139645895	304.7718323
8.709810696	365.7261988
9.21408316	438.8714386
9.643918564	526.6457263
9.99844259	631.9748715
10.2839693	758.3698458
10.51194713	910.043815
10.69605429	1092.052578
10.84942906	1310.463094
10.98281051	1572.555712
11.1038529	1887.066855
11.21738511	2264.480226
11.32615056	2717.376271
11.43160304	3260.851525
11.53451897	3913.02183
11.63536981	4695.626196
11.73450358	5634.751435
11.83221309	6761.701722
11.92875267	8114.042067
12.02433916	9736.85048
12.11915209	11684.22058
12.21333671	14021.06469
12.30700901	16825.27763
12.40026137	20190.33316
12.49316763	24228.39979
12.58578729	29074.07974
12.67816874	34888.89569
12.77035163	41866.67483
12.86236869	50240.0098
12.95424706	60288.01176
13.04600935	72345.61411
13.1376744	86814.73693
13.229258	104177.6843
