                  sd	td
0.006664308	0.1
0.007996555	0.12
0.009594983	0.144
0.011512712	0.1728
0.013813434	0.20736
0.01657351	0.248832
0.019884465	0.2985984
0.023855985	0.35831808
0.028619476	0.429981696
0.034332326	0.515978035
0.041182962	0.619173642
0.049396876	0.743008371
0.059243786	0.891610045
0.071046042	1.069932054
0.085188747	1.283918465
0.102131341	1.540702157
0.122421582	1.848842589
0.146711518	2.218611107
0.175776205	2.662333328
0.210535189	3.194799994
0.252076994	3.833759992
0.301686719	4.600511991
0.360876604	5.520614389
0.431419207	6.624737267
0.51538231	7.94968472
0.615164095	9.539621664
0.733526138	11.447546
0.87362054	13.7370552
1.039005791	16.48446624
1.233643761	19.78135948
1.461867545	23.73763138
1.72830677	28.48515766
2.037753732	34.18218919
2.394950908	41.01862702
2.804279018	49.22235243
3.269326441	59.06682292
3.792327906	70.8801875
4.373476257	85.056225
5.010139845	102.06747
5.696063819	122.480964
6.420697409	146.9771568
7.168863452	176.3725882
7.921045259	211.6471058
8.654559648	253.9765269
9.345749642	304.7718323
9.973029242	365.7261988
10.5202005	438.8714386
10.97912399	526.6457263
11.35080807	631.9748715
11.64443112	758.3698458
11.87458264	910.043815
12.05770321	1092.052578
12.2089197	1310.463094
12.34011549	1572.555712
12.45941605	1887.066855
12.57171284	2264.480226
12.67963667	2717.376271
12.78450001	3260.851525
12.88697221	3913.02183
12.98746204	4695.626196
13.08628759	5634.751435
13.1837295	6761.701722
13.28003724	8114.042067
13.3754247	9736.85048
13.47006834	11684.22058
13.5641099	14021.06469
13.65766177	16825.27763
13.75081286	20190.33316
13.84363395	24228.39979
13.9361819	29074.07974
14.02850287	34888.89569
14.12063468	41866.67483
14.21260854	50240.0098
14.30445034	60288.01176
14.39618164	72345.61411
14.48782043	86814.73693
14.57938176	104177.6843
14.67087819	125013.2212
14.76232026	150015.8654
14.85371678	180019.0385
14.94507514	216022.8462
